Alloy,Doping type,Temperature (K),Doping (cm⁻³),S (µV/K),sigma (S/m),kappa_e (W/(m·K)),ZT_e (-)
HfCr_Co2_Ge2,n,100.0,-1e+16,994.8763145993092,1.1379451919978516,2.081685514263757e-06,54.10587293116637
HfCr_Co2_Ge2,n,200.0,-1e+16,1102.313256946539,1.0507544231685477,3.6425514212391466e-06,70.10283672442597
HfCr_Co2_Ge2,n,300.0,-1e+18,773.1075377111874,104.58830118492331,0.0005906469567556839,31.75091228199627
HfCr_Co2_Ge2,n,400.0,-1e+19,611.1341030161689,1035.2722847482412,0.007357566502111547,21.021002377000222
HfCr_Co2_Ge2,n,500.0,-1e+20,436.6148223901116,10123.38579928124,0.07721200458610165,12.497061729068452
HfCr_Co2_Ge2,n,600.0,-1e+20,450.5668963660899,9828.4342594462,0.09879603389348908,12.11754491015458
HfCr_Co2_Ge2,n,700.0,-1e+20,451.03611323228205,9623.900886769381,0.19913884504203994,6.882018406110212
HfCr_Co2_Ge2,n,800.0,-1e+20,421.47210974218643,9828.38311231819,0.5362138368366121,2.6047840848516155
HfCr_Co2_Ge2,n,900.0,1e+20,-232.23749461911018,19727.280948239677,0.9039340912458599,1.0593455550292277
HfCr_Co2_Ge2,n,1000.0,1e+20,-181.7849774934431,20878.906862633667,1.7270538326176508,0.39950099349394175
HfCr_Co2_Ge2,n,1100.0,-1e+20,181.25819106315134,18836.65168495286,3.619836376700698,0.1880627295528976
HfCr_Co2_Ge2,n,1200.0,-1e+20,134.21012844504415,25254.749617953028,5.0183147625896245,0.1087769805006305
HfCr_Co2_Ge2,n,1300.0,-1e+20,106.61790324900022,32950.13330191603,6.5692610895807135,0.07412151375870946
HfCr_Co2_Ge2,p,100.0,1e+16,994.8763145993092,1.1379451919978516,2.081685514263757e-06,54.10587293116637
HfCr_Co2_Ge2,p,200.0,1e+16,1102.313256946539,1.0507544231685477,3.6425514212391466e-06,70.10283672442597
HfCr_Co2_Ge2,p,300.0,1e+18,773.1075377111874,104.58830118492331,0.0005906469567556839,31.75091228199627
HfCr_Co2_Ge2,p,400.0,1e+19,611.1341030161689,1035.2722847482412,0.007357566502111547,21.021002377000222
HfCr_Co2_Ge2,p,500.0,1e+20,436.6148223901116,10123.38579928124,0.07721200458610165,12.497061729068452
HfCr_Co2_Ge2,p,600.0,1e+20,450.5668963660899,9828.4342594462,0.09879603389348908,12.11754491015458
HfCr_Co2_Ge2,p,700.0,1e+20,451.03611323228205,9623.900886769381,0.19913884504203994,6.882018406110212
HfCr_Co2_Ge2,p,800.0,1e+20,421.47210974218643,9828.38311231819,0.5362138368366121,2.6047840848516155
HfCr_Co2_Ge2,p,900.0,-1e+20,-232.23749461911018,19727.280948239677,0.9039340912458599,1.0593455550292277
HfCr_Co2_Ge2,p,1000.0,-1e+20,-181.7849774934431,20878.906862633667,1.7270538326176508,0.39950099349394175
HfCr_Co2_Ge2,p,1100.0,1e+20,181.25819106315134,18836.65168495286,3.619836376700698,0.1880627295528976
HfCr_Co2_Ge2,p,1200.0,1e+20,134.21012844504415,25254.749617953028,5.0183147625896245,0.1087769805006305
HfCr_Co2_Ge2,p,1300.0,1e+20,106.61790324900022,32950.13330191603,6.5692610895807135,0.07412151375870946
HfCr_Co2_Sn2,n,100.0,-1e+16,958.1278860016779,1.402882711149006,2.5201618279179137e-06,51.10223498160264
HfCr_Co2_Sn2,n,200.0,-1e+16,1059.2172560125516,1.1953617812316415,4.083625951696929e-06,65.68307879690857
HfCr_Co2_Sn2,n,300.0,-1e+18,734.0666170524588,110.89708102488449,0.0006718191583638856,26.68455308997357
HfCr_Co2_Sn2,n,400.0,-1e+19,583.6856254190853,1045.7852830178379,0.008270447602936036,17.231833852798008
HfCr_Co2_Sn2,n,500.0,-1e+20,418.7060975764569,9854.973817310967,0.08062669663725387,10.714334072224322
HfCr_Co2_Sn2,n,600.0,-1e+20,436.375800714397,9348.709785792127,0.105322788533185,10.141493039250237
HfCr_Co2_Sn2,n,700.0,-1e+20,434.1450050102297,9072.050255569997,0.23265895624485786,5.144620326642479
HfCr_Co2_Sn2,n,800.0,-1e+20,392.09462831106083,9498.812584092093,0.6318679788458228,1.8489056251462226
HfCr_Co2_Sn2,n,900.0,-1e+20,309.3266735447707,11345.693653057106,1.4010324840066852,0.6973649248918821
HfCr_Co2_Sn2,n,1000.0,-1e+20,227.26578690729596,15022.887013261614,2.427862247888536,0.31959316365248486
HfCr_Co2_Sn2,n,1100.0,-1e+20,171.94271959711807,20365.49466408888,3.6126659832776062,0.18332741802687888
HfCr_Co2_Sn2,n,1200.0,-1e+20,139.09267491258584,27046.62603381593,4.942184408691534,0.12705270457874282
HfCr_Co2_Sn2,n,1300.0,-1e+20,119.61773407741778,34821.18387969863,6.415374442705705,0.10096155194286677
HfCr_Co2_Sn2,p,100.0,1e+16,958.1278860016779,1.402882711149006,2.5201618279179137e-06,51.10223498160264
HfCr_Co2_Sn2,p,200.0,1e+16,1059.2172560125516,1.1953617812316415,4.083625951696929e-06,65.68307879690857
HfCr_Co2_Sn2,p,300.0,1e+18,734.0666170524588,110.89708102488449,0.0006718191583638856,26.68455308997357
HfCr_Co2_Sn2,p,400.0,1e+19,583.6856254190853,1045.7852830178379,0.008270447602936036,17.231833852798008
HfCr_Co2_Sn2,p,500.0,1e+20,418.7060975764569,9854.973817310967,0.08062669663725387,10.714334072224322
HfCr_Co2_Sn2,p,600.0,1e+20,436.375800714397,9348.709785792127,0.105322788533185,10.141493039250237
