phase,family,alloy,quantity,value_reference,value_mace,error_exact,error_linear,exact_ci_low,exact_ci_high,linear_ci_low,linear_ci_high,linear_minus_exact,relative_difference_percent,unit,error_type
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C11,256.36081806000084,198.1962253602196,-58.16459269978125,-58.16459269978125,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C12,123.12925638000046,80.5562624931173,-42.572993886883154,-42.572993886883154,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C13,125.00974318000044,85.80086147316287,-39.20888170683757,-39.20888170683757,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C14,0.0,-1.8373226677972406e-07,-1.8373226677972406e-07,-1.8373226677972406e-07,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C15,0.0,-2.132056485400425e-07,-2.132056485400425e-07,-2.132056485400425e-07,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C16,0.0,-1.3985571862158306e-08,-1.3985571862158306e-08,-1.3985571862158306e-08,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C22,256.36081806000095,198.19622536021967,-58.16459269978128,-58.16459269978128,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C23,125.00974318000046,85.80086147316291,-39.208881706837545,-39.208881706837545,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C24,0.0,0.0,0.0,0.0,,,,,0.0,,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C25,0.0,0.0,0.0,0.0,,,,,0.0,,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C26,0.0,0.0,0.0,0.0,,,,,0.0,,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C33,262.227423620001,204.62979300866905,-57.59763061133194,-57.59763061133194,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C34,0.0,1.0870010473753512e-08,1.0870010473753512e-08,1.0870010473753512e-08,,,,,0.0,0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C35,0.0,-2.1450969020145283e-07,-2.1450969020145283e-07,-2.1450969020145283e-07,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C36,0.0,-1.4887526423401653e-07,-1.4887526423401653e-07,-1.4887526423401653e-07,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C44,52.419364190000024,34.79134033690612,-17.628023853093907,-17.628023853093907,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C45,0.0,0.0,0.0,0.0,,,,,0.0,,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C46,0.0,0.0,0.0,0.0,,,,,0.0,,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C55,52.440325522368425,34.7996572691308,-17.640668253237628,-17.640668253237628,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C56,0.0,9.629758655717116e-09,9.629758655717116e-09,9.629758655717116e-09,,,,,0.0,0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,C66,49.9528637687943,33.11490173108385,-16.837962037710454,-16.837962037710454,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,B_R,168.61997362034725,122.60297400271901,-46.016999617628244,-46.016999617628244,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,ZrMo_Os2_Bi2,G_R,56.77471029101571,40.94711984034738,-15.827590450668325,-15.827590450668325,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C11,327.37634160000124,232.52207649074703,-94.85426510925421,-94.85426510925421,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C12,128.79243424000043,88.04493007916805,-40.74750416083238,-40.74750416083238,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C13,132.70961468000056,94.75100329484756,-37.95861138515299,-37.95861138515299,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C14,0.0,2.9160922971215726e-07,2.9160922971215726e-07,2.9160922971215726e-07,,,,,0.0,0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C15,0.0,-1.5392983350003336e-07,-1.5392983350003336e-07,-1.5392983350003336e-07,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C16,0.0,-5.725251699189016e-07,-5.725251699189016e-07,-5.725251699189016e-07,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C22,327.3763416000011,232.52207649074694,-94.85426510925419,-94.85426510925419,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C23,132.7096146800005,94.75100329484752,-37.95861138515298,-37.95861138515298,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C24,0.0,0.0,0.0,0.0,,,,,0.0,,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C25,0.0,0.0,0.0,0.0,,,,,0.0,,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C26,0.0,0.0,0.0,0.0,,,,,0.0,,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C33,323.67848648000114,242.16741122011788,-81.51107525988326,-81.51107525988326,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C34,0.0,-1.7728423485475325e-07,-1.7728423485475325e-07,-1.7728423485475325e-07,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C35,0.0,7.770957384502958e-09,7.770957384502958e-09,7.770957384502958e-09,,,,,0.0,0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C36,0.0,1.765155192691706e-07,1.765155192691706e-07,1.765155192691706e-07,,,,,0.0,0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C44,94.44748116333335,67.28903871301516,-27.15844245031819,-27.15844245031819,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C45,0.0,0.0,0.0,0.0,,,,,0.0,,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C46,0.0,0.0,0.0,0.0,,,,,0.0,,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C55,94.45442454743107,67.28465465840013,-27.169769889030945,-27.169769889030945,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
I-42d,X1X2Y2Z2,TiCr_Fe2_As2,C56,0.0,-4.300280793863628e-07,-4.300280793863628e-07,-4.300280793863628e-07,,,,,0.0,-0.0,GPa,saved_MACE_minus_DFT
