Alloy,Doping type,Temperature (K),Doping (cm⁻³),S (µV/K),sigma (S/m),kappa_e (W/(m·K)),ZT_e (-)
HfCr_Co2_Ge2,n,100.0,1e+16,-713.6962395151418,4.415258371658035,7.947542673306715e-06,28.29763047749628
HfCr_Co2_Ge2,n,200.0,1e+16,-807.4100783393645,4.041487942910839,1.4633102911768849e-05,36.0100055618898
HfCr_Co2_Ge2,n,300.0,1e+17,-665.3549484195529,37.114317712693634,0.00025050914496412897,19.676413179822156
HfCr_Co2_Ge2,n,400.0,1e+18,-505.9806923787821,340.4967980934217,0.004114818458609407,8.474034626512982
HfCr_Co2_Ge2,n,500.0,1e+19,-354.9824003545986,2994.657498330716,0.03498788087554516,5.3927857621741015
HfCr_Co2_Ge2,n,600.0,1e+20,-212.5133438563962,24295.48315674994,0.2986770415738134,2.2041815324726843
HfCr_Co2_Ge2,n,700.0,1e+20,-237.77778807991535,22120.64802238664,0.3397007581493185,2.5771632798478303
HfCr_Co2_Ge2,n,800.0,1e+20,-249.70198849982194,20352.338095820305,0.48664656253660477,2.0860976664111406
HfCr_Co2_Ge2,n,900.0,1e+20,-232.20172039768474,19712.0982362274,0.904279951205929,1.057799429156386
HfCr_Co2_Ge2,n,1000.0,1e+20,-181.7578171437223,20875.513042255345,1.727246291843245,0.39927221150207065
HfCr_Co2_Ge2,n,1100.0,1e+20,-121.02922470684304,24110.19537305676,2.9268027110926695,0.1327334762833353
HfCr_Co2_Ge2,n,1200.0,1e+20,-70.37311328293613,29206.488973800177,4.396355401670163,0.039480380838900826
HfCr_Co2_Ge2,n,1300.0,1e+20,-33.75106585981789,35815.58530837154,6.065941435742033,0.008743638164028109
HfCr_Co2_Ge2,p,100.0,1e+16,995.1060470493964,1.133425716816002,2.0818065522283073e-06,53.91274216988732
HfCr_Co2_Ge2,p,200.0,1e+16,1102.1673856571035,1.0502297482521108,3.6414309892130458e-06,70.07084242688308
HfCr_Co2_Ge2,p,300.0,1e+18,772.6597740345401,105.09249676062586,0.0005936050851053098,31.708226918564268
HfCr_Co2_Ge2,p,400.0,1e+19,611.0348678205917,1036.3543444791546,0.007366494425882307,21.010645042546198
HfCr_Co2_Ge2,p,500.0,1e+20,436.6238721911665,10122.06215228357,0.07720991568426135,12.496283792119131
HfCr_Co2_Ge2,p,600.0,1e+20,450.50872015141766,9835.311850729739,0.09884938240639551,12.11635050651826
HfCr_Co2_Ge2,p,700.0,1e+20,451.07772521553716,9617.021651788591,0.19918164574800654,6.876890048285951
HfCr_Co2_Ge2,p,800.0,1e+20,421.4489717919005,9812.921362989066,0.5367915624878746,2.5976020720167865
HfCr_Co2_Ge2,p,900.0,1e+20,348.3460212095143,11088.122785572088,1.2735942690964908,0.9508043250556236
HfCr_Co2_Ge2,p,1000.0,1e+20,255.79603682266665,14035.046199977956,2.3557924690854635,0.38982029010815905
HfCr_Co2_Ge2,p,1100.0,1e+20,181.40862080881095,18839.217030423697,3.619336765534842,0.1884266743484252
HfCr_Co2_Ge2,p,1200.0,1e+20,134.18162298745702,25253.83660442069,5.018276241016577,0.10872768196409643
HfCr_Co2_Ge2,p,1300.0,1e+20,106.6439384561969,32949.64557705094,6.569148909133737,0.07415788658223092
HfCr_Co2_Sn2,n,100.0,1e+16,-726.3165247709267,4.069114671245358,7.464392760218495e-06,28.757908401247715
HfCr_Co2_Sn2,n,200.0,1e+16,-823.7016942937231,3.621882362826156,1.3424051631609257e-05,36.61176287581098
HfCr_Co2_Sn2,n,300.0,1e+17,-684.0811473924487,31.640863506899866,0.0002947221037940865,15.07204274324407
HfCr_Co2_Sn2,n,400.0,1e+19,-358.93806301731075,2587.55498574715,0.020727347128294354,6.43346418547179
HfCr_Co2_Sn2,n,500.0,1e+19,-401.14974148570695,2193.8294723715735,0.031597602055068036,5.586396784239514
HfCr_Co2_Sn2,n,600.0,1e+20,-273.05063665107826,16402.725042892245,0.18924950900767726,3.877206041995671
HfCr_Co2_Sn2,n,700.0,1e+20,-295.8799221326382,14020.261309502492,0.2544714670008417,3.376339006080938
HfCr_Co2_Sn2,n,800.0,1e+20,-281.3387615298755,12691.93171568223,0.5457295723498164,1.4726494118554871
HfCr_Co2_Sn2,n,900.0,1e+20,-211.3729640602563,13160.471746251278,1.2485714293024064,0.42383756777875287
